"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","b","c","b","c","a","a","a","a","b","b","c","c","b","a","a","a","a","c","a"
"2","c","b","c","b","a","c","a","a","a","c","b","b","a","a","a","a","a","a","a"
"3","b","a","a","b","c","c","a","c","b","b","c","c","b","a","a","a","a","a","a"
"4","b","a","a","b","b","a","a","c","a","c","a","a","b","c","a","a","a","a","a"
"5","b","a","c","c","a","b","a","a","b","b","c","c","c","c","c","c","b","b","c"
"6","c","c","b","a","c","a","b","a","b","b","c","b","a","a","c","a","a","c","a"
"7","b","b","b","b","a","b","a","a","a","b","c","a","b","b","a","a","a","c","a"
"8","c","b","c","c","b","b","a","c","a","b","c","b","a","a","c","c","c","a","a"
"9","b","a","b","b","c","a","b","a","b","b","c","b","b","a","a","a","a","c","a"
"10","c","a","b","a","a","b","a","a","a","a","b","a","c","c","b","a","b","b","b"
"11","a","c","b","c","a","b","a","a","a","b","c","a","b","a","a","a","a","c","a"
"12","b","c","b","b","a","c","a","a","a","a","b","c","a","a","c","c","c","c","a"
"13","a","c","a","b","a","b","c","a","b","b","b","a","c","c","a","c","c","a","a"
"14","c","a","b","b","a","a","a","a","b","b","a","a","a","a","c","a","c","b","b"
"15","a","a","b","b","b","c","a","b","c","b","a","b","a","a","c","c","b","b","b"
"16","c","b","b","a","a","a","a","a","b","b","c","b","a","a","c","c","c","a","a"
"17","c","a","b","a","b","a","a","a","b","b","c","b","a","a","c","a","c","b","b"
"18","c","c","c","b","c","b","b","a","b","c","b","c","b","c","a","a","a","c","c"
"19","a","a","a","a","b","c","a","c","a","b","c","a","b","a","a","a","c","a","c"
"20","a","c","c","c","b","a","a","a","a","c","c","b","a","a","a","a","c","c","b"
"21","b","a","a","b","c","a","a","b","c","b","c","b","b","c","a","a","a","a","a"
"22","b","a","b","c","a","a","a","a","c","c","c","b","a","a","c","c","c","c","b"
"23","a","a","b","b","c","a","b","a","a","b","c","a","b","a","a","a","c","c","b"
"24","c","c","c","a","b","a","a","a","b","a","a","a","c","c","a","a","a","c","b"
"25","a","c","b","c","a","a","a","a","c","c","b","a","b","c","c","a","c","c","b"
"26","c","a","b","b","c","a","a","c","b","c","a","b","b","b","a","a","c","c","b"
"27","a","b","a","b","a","c","a","a","b","b","c","b","a","a","b","b","a","a","a"
"28","c","a","c","b","b","c","a","b","c","b","b","c","a","a","c","c","a","c","a"
"29","c","a","b","a","b","a","b","c","a","c","a","a","b","b","a","a","c","c","a"
"30","b","b","b","b","a","c","b","a","c","c","a","b","a","c","b","a","a","c","a"
"31","c","a","a","b","c","a","a","b","b","c","b","b","a","a","a","a","a","a","c"
"32","b","a","b","c","b","a","a","c","b","a","b","a","c","c","a","c","a","a","a"
"33","c","a","b","b","a","c","a","a","b","b","b","c","a","a","a","a","a","c","a"
"34","c","a","b","b","c","c","b","a","b","b","a","b","a","b","c","a","c","c","b"
"35","a","a","c","b","a","c","a","a","b","c","a","b","b","b","b","b","c","c","b"
"36","c","c","b","a","c","b","a","c","b","c","c","c","b","a","a","a","a","a","a"
"37","b","b","c","b","a","a","a","b","b","b","b","c","c","b","a","a","a","a","a"
"38","b","b","a","b","c","c","a","a","b","b","c","a","b","c","a","a","a","a","a"
"39","c","a","b","b","b","b","a","b","a","b","c","b","a","a","c","a","a","c","a"
"40","b","a","b","c","a","a","a","a","a","b","b","a","c","b","c","c","c","c","b"
"41","a","a","c","a","a","a","c","a","a","b","c","c","b","a","c","c","c","b","b"
"42","b","c","b","b","a","c","a","c","a","b","b","c","c","c","a","a","a","c","b"
"43","a","b","a","b","a","b","a","a","a","c","c","c","c","c","b","b","b","b","a"
"44","b","c","b","b","a","c","a","a","a","c","a","a","a","c","c","a","c","c","a"
"45","b","a","b","b","c","c","a","a","b","a","a","a","c","c","a","a","a","c","a"
"46","b","c","c","b","c","c","a","a","b","b","b","a","c","c","a","a","a","a","b"
"47","b","c","c","b","a","b","a","a","c","b","c","b","a","a","c","a","c","b","a"
"48","a","b","b","c","b","a","a","a","c","b","c","a","c","c","c","c","c","a","a"
"49","a","c","a","a","c","b","b","a","c","b","a","a","a","a","a","b","c","a","a"
"50","b","a","b","a","a","b","a","a","c","b","c","a","b","c","a","a","c","c","b"
"51","a","a","b","b","c","a","a","c","b","c","b","c","c","a","c","a","c","c","b"
"52","b","c","b","b","a","b","a","a","a","b","a","b","b","a","a","a","a","c","a"
"53","a","c","a","c","a","a","a","b","c","b","c","b","a","a","a","a","a","a","c"
"54","b","a","b","c","a","a","a","a","b","a","c","b","a","a","a","a","a","a","a"
"55","a","c","a","b","a","c","a","a","b","b","b","c","a","c","c","c","c","a","b"
"56","b","a","b","c","a","c","a","a","b","b","c","a","b","a","a","a","a","b","a"
"57","a","a","c","c","b","b","b","c","a","b","a","c","c","c","a","a","b","b","a"
"58","c","a","b","a","a","b","a","a","c","a","a","b","b","c","a","a","b","c","c"
"59","b","a","c","b","a","b","a","a","a","b","c","c","b","a","c","c","c","a","b"
"60","a","a","c","c","c","a","a","c","b","b","b","a","b","b","b","b","b","b","c"
"61","c","a","c","b","c","c","a","c","b","a","c","a","b","c","c","c","b","b","c"
"62","c","c","c","b","c","a","a","a","c","a","a","b","a","b","c","c","c","c","a"
"63","b","b","a","b","c","c","a","a","b","b","b","c","b","a","a","a","a","a","a"
"64","c","a","c","b","c","a","b","a","b","b","c","c","c","c","a","b","a","a","a"
"65","c","a","a","c","c","a","a","c","b","b","c","b","a","a","b","a","b","b","a"
"66","c","a","c","a","a","a","a","a","c","b","c","c","c","c","c","a","b","b","c"
"67","a","a","b","b","a","c","b","b","b","a","b","a","b","c","a","a","a","c","a"
"68","c","b","c","c","c","c","b","a","b","b","c","c","a","a","a","b","c","c","b"
"69","a","a","c","c","a","c","a","a","a","b","c","a","b","c","c","c","c","b","a"
"70","b","a","a","c","b","a","a","c","b","b","c","b","a","a","a","a","a","a","a"
"71","c","a","a","a","b","a","a","a","b","b","c","c","a","a","a","a","a","a","a"
"72","a","b","c","b","a","c","a","a","c","b","c","c","a","a","a","b","a","a","a"
"73","c","a","c","b","a","c","a","a","a","b","b","a","c","c","a","a","b","b","c"
"74","c","a","b","b","a","c","a","a","b","b","b","c","a","a","c","b","b","b","c"
"75","b","c","b","c","a","a","a","a","b","b","c","a","c","c","c","c","c","c","a"
"76","c","c","c","a","a","a","b","a","b","b","a","b","a","a","c","c","b","b","c"
"77","c","c","c","b","a","b","a","a","c","c","c","c","c","b","a","b","c","a","a"
"78","a","b","c","c","b","b","a","b","c","c","b","b","a","a","b","b","b","c","c"
"79","a","c","c","b","a","c","a","a","c","c","b","c","a","b","c","a","c","c","a"
"80","a","a","a","b","b","b","b","a","c","a","c","b","a","a","c","a","a","a","b"
"81","b","b","a","c","a","a","a","a","c","c","c","c","b","c","a","b","c","a","a"
"82","b","c","b","c","c","a","c","a","a","b","b","c","a","a","a","a","a","c","c"
"83","b","c","b","b","a","c","a","a","c","b","c","a","b","b","a","a","a","c","a"
"84","c","c","c","b","a","c","a","c","a","a","c","c","b","c","a","a","a","c","b"
"85","b","c","a","a","b","a","a","c","b","b","c","a","b","a","a","a","a","a","a"
"86","b","a","c","b","a","c","b","a","c","b","c","a","b","a","c","a","c","a","b"
"87","a","a","c","c","a","a","a","c","a","a","b","c","a","a","a","b","a","c","a"
"88","b","c","c","b","c","a","c","a","c","b","a","c","c","c","a","a","c","c","a"
"89","b","a","b","c","a","b","a","c","b","b","b","b","a","a","a","a","a","c","a"
"90","a","a","b","c","c","b","a","b","b","b","c","b","a","a","c","c","c","c","b"
"91","c","a","b","a","c","a","a","a","a","b","a","b","b","c","a","b","a","c","b"
"92","b","b","c","b","a","b","a","a","b","b","c","a","b","c","b","a","b","b","a"
"93","c","c","b","a","a","a","b","b","c","b","b","c","b","a","c","a","c","c","a"
"94","b","a","c","b","b","c","a","a","a","c","b","c","a","a","a","a","a","a","a"
"95","b","c","c","b","a","a","a","a","b","b","c","c","c","a","a","a","c","c","a"
"96","a","c","b","c","c","c","b","a","b","b","c","b","c","a","a","b","c","c","a"
"97","b","a","b","b","a","a","a","a","c","b","c","c","c","c","c","c","a","c","c"
"98","c","a","c","b","c","a","a","c","b","b","c","b","a","a","c","c","c","b","b"
"99","b","c","a","c","a","a","b","a","a","b","c","c","b","b","a","a","a","a","c"
