"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","c","c","b","a","c","b","a","c","b","b","c","a","b","a","b","b","a","c","a"
"2","b","a","a","b","a","b","a","a","a","b","c","c","b","a","a","a","a","a","a"
"3","b","a","a","b","a","a","a","a","a","c","c","b","a","a","a","a","b","b","c"
"4","a","b","c","a","b","a","a","a","b","a","c","c","c","c","a","a","a","a","a"
"5","c","b","b","b","a","c","a","a","a","a","c","a","b","c","a","c","a","a","a"
"6","b","b","c","b","a","c","a","a","b","a","c","c","c","c","a","a","c","c","a"
"7","b","c","a","b","a","a","c","c","b","c","c","c","c","c","a","a","c","c","a"
"8","b","b","c","b","c","a","b","a","b","b","c","b","a","a","a","b","b","b","a"
"9","c","b","c","b","a","c","a","a","a","b","c","c","a","a","b","a","b","b","c"
"10","a","b","a","b","a","c","c","a","c","b","c","b","c","c","a","a","a","a","a"
"11","b","b","c","c","b","a","a","b","c","b","c","b","a","a","a","a","a","c","a"
"12","a","c","c","b","a","c","a","a","b","b","c","a","b","c","a","a","b","b","c"
"13","a","b","b","c","c","b","b","a","b","a","b","c","a","a","a","c","c","b","a"
"14","a","a","a","c","a","a","b","b","b","b","c","b","a","a","a","c","c","a","b"
"15","b","a","c","b","b","a","a","b","b","c","b","c","a","a","a","b","c","c","b"
"16","a","b","a","b","c","b","a","a","b","b","c","a","a","a","c","c","b","a","c"
"17","b","b","a","c","c","a","b","a","b","b","c","a","b","c","b","c","b","a","a"
"18","c","c","c","a","a","a","a","a","b","b","c","a","b","c","a","a","b","b","b"
"19","c","a","a","b","c","c","b","a","b","b","c","b","c","c","b","b","a","a","b"
"20","a","b","a","c","b","a","a","a","c","a","c","c","b","a","b","c","b","b","a"
"21","c","a","b","b","c","c","a","a","b","a","b","a","c","c","a","a","c","c","a"
"22","a","c","a","a","b","c","a","a","b","b","c","c","c","c","a","a","a","a","a"
"23","b","b","c","c","a","a","a","b","c","b","c","c","b","a","c","c","c","b","b"
"24","a","c","a","c","a","b","a","a","a","b","c","c","c","a","a","a","a","a","b"
"25","c","a","c","a","a","b","a","a","c","a","a","b","a","a","c","a","b","b","c"
"26","c","a","c","a","a","a","a","a","c","b","b","c","a","a","b","b","b","b","c"
"27","b","b","a","a","c","b","a","a","b","b","c","b","a","a","a","b","a","a","a"
"28","a","c","a","a","a","c","a","a","b","b","c","b","a","a","a","a","a","a","c"
"29","b","a","b","a","b","b","a","b","b","c","b","c","b","b","c","a","c","c","b"
"30","b","c","a","b","a","c","a","a","a","b","a","b","a","a","a","a","a","a","a"
"31","b","c","a","b","a","b","a","a","b","b","c","a","a","c","c","c","a","a","a"
"32","a","a","a","b","a","c","b","b","a","c","c","c","c","b","a","a","a","b","a"
"33","b","a","a","b","c","c","a","a","b","c","c","a","a","a","a","a","a","a","a"
"34","a","b","a","c","a","a","a","a","b","a","a","b","a","a","a","a","a","a","a"
"35","b","c","c","b","a","c","a","a","c","b","c","a","b","a","a","b","a","c","a"
"36","a","a","c","b","b","b","a","b","c","c","b","a","c","b","c","c","c","c","b"
"37","c","a","c","b","c","c","a","a","b","b","c","b","a","a","c","a","b","c","a"
"38","b","a","b","b","c","c","a","c","a","b","c","a","c","b","a","c","c","c","b"
"39","b","b","a","c","a","a","b","b","a","b","b","c","a","a","a","a","a","a","a"
"40","a","c","b","c","b","a","c","a","c","a","c","b","a","a","a","a","a","a","a"
"41","a","c","c","a","a","a","a","a","a","c","b","a","c","b","a","a","b","b","c"
"42","a","c","c","c","a","a","b","b","a","b","c","b","a","a","a","c","a","a","a"
"43","a","c","a","a","b","a","a","b","c","b","c","a","b","c","b","b","a","b","a"
"44","b","c","a","c","b","b","b","a","a","c","c","a","a","a","a","a","c","b","a"
"45","b","b","c","b","a","b","a","a","a","c","c","c","c","c","c","a","b","a","c"
"46","b","c","c","c","a","c","a","a","b","b","b","c","c","c","a","a","b","b","c"
"47","a","b","a","b","a","b","b","b","a","b","c","b","a","a","b","c","a","a","a"
"48","b","a","c","c","b","a","a","b","b","b","c","c","c","c","a","a","c","c","b"
"49","b","c","c","b","c","c","a","c","b","c","a","b","a","a","a","b","a","b","b"
"50","a","a","a","c","c","a","a","c","c","a","c","c","b","c","a","b","a","c","a"
"51","c","c","a","b","b","c","b","c","c","c","c","b","a","a","b","b","c","c","a"
"52","b","a","c","b","b","a","a","b","c","b","c","a","b","a","a","a","a","a","c"
"53","b","a","c","c","b","b","a","b","c","b","a","b","b","c","c","c","c","b","b"
"54","b","a","b","b","a","c","b","b","c","b","c","a","b","c","a","a","c","c","b"
"55","c","b","b","c","a","b","a","a","c","b","b","a","c","c","c","c","b","c","a"
"56","a","b","a","c","a","b","a","a","c","c","a","b","a","a","a","a","c","c","b"
"57","b","c","b","b","a","c","b","a","b","b","c","c","a","a","a","a","a","a","a"
"58","a","b","b","b","c","c","b","a","b","b","c","b","a","a","b","b","b","c","c"
"59","c","a","c","b","a","c","a","a","b","b","c","b","a","b","c","a","b","b","c"
"60","a","c","b","a","a","a","a","a","b","b","b","c","b","c","c","a","c","c","a"
"61","a","c","c","b","a","c","a","a","c","c","b","c","c","c","a","a","a","c","a"
"62","a","c","a","a","a","b","a","a","a","c","a","b","a","a","b","a","b","b","b"
"63","c","b","c","c","a","b","c","a","b","b","c","c","b","a","c","c","c","c","a"
"64","c","a","a","b","c","b","a","c","b","c","a","b","a","a","a","a","c","b","b"
"65","c","c","c","b","a","b","a","a","b","b","c","c","c","c","a","c","a","b","a"
"66","b","c","a","a","b","a","a","a","b","b","c","b","a","a","c","a","a","a","c"
"67","b","a","a","b","c","b","c","a","b","b","b","c","b","c","a","a","a","a","b"
"68","b","c","a","c","b","a","a","b","b","c","a","b","c","b","a","a","a","c","a"
"69","b","a","a","b","a","b","a","a","a","b","a","b","a","a","c","c","c","a","b"
"70","c","b","c","a","a","b","a","a","c","b","c","a","b","c","a","c","a","b","a"
"71","b","b","a","a","a","b","c","a","c","a","b","c","b","c","c","c","a","c","a"
"72","b","b","c","c","b","b","b","c","b","b","c","c","c","a","a","a","a","a","a"
"73","a","c","a","b","b","c","b","c","a","b","a","b","a","a","a","b","c","b","a"
"74","a","c","a","c","a","a","a","a","a","a","a","b","a","a","b","c","b","c","b"
"75","c","a","b","b","a","a","a","a","c","b","c","b","a","c","a","a","c","c","b"
"76","c","a","a","a","b","a","a","c","b","b","b","c","a","a","b","b","a","a","a"
"77","b","c","a","c","a","b","a","a","b","a","a","c","b","c","c","c","c","c","a"
"78","b","b","a","b","b","c","a","c","b","b","c","c","b","a","c","c","a","a","a"
"79","c","c","a","b","b","c","a","b","a","b","c","a","b","c","a","a","c","a","b"
"80","b","b","a","b","c","c","c","b","b","b","c","b","b","c","a","a","a","a","a"
"81","b","c","b","a","b","a","a","b","c","b","c","b","a","a","c","a","c","c","a"
"82","c","a","c","a","c","b","b","c","b","a","b","c","c","c","c","a","b","a","c"
"83","a","c","a","a","b","c","c","c","a","b","b","c","c","c","b","b","a","a","c"
"84","a","b","a","b","a","c","a","a","b","c","b","c","a","b","a","b","a","a","a"
"85","a","c","a","b","b","b","a","b","c","b","c","b","a","a","c","c","b","a","c"
"86","b","c","a","b","c","a","b","a","b","b","c","b","a","a","a","a","a","a","a"
"87","a","b","a","b","a","c","a","a","c","b","c","c","b","a","a","a","c","c","a"
"88","a","b","c","c","a","a","a","a","c","c","a","a","c","a","a","a","c","c","a"
"89","c","b","c","a","a","a","a","b","a","c","b","a","b","b","c","a","b","b","a"
"90","a","b","a","b","b","c","a","b","b","b","c","b","a","a","c","b","a","a","a"
"91","c","a","c","a","c","a","a","c","a","c","c","c","a","a","a","a","a","c","a"
"92","c","b","b","b","b","c","a","a","b","b","b","a","c","c","a","a","a","c","a"
"93","c","b","b","b","a","a","a","a","b","c","a","c","c","c","b","b","a","c","b"
"94","c","b","c","a","a","a","a","b","c","b","c","a","c","a","a","c","c","c","a"
"95","a","a","b","b","a","c","a","a","a","b","c","c","b","a","a","a","a","b","c"
"96","b","c","b","b","a","b","b","b","b","b","c","c","b","b","b","c","b","c","c"
"97","a","a","a","b","a","b","a","a","a","a","c","c","c","c","a","a","a","c","a"
"98","c","c","c","b","a","b","a","a","b","b","c","c","c","c","b","b","b","b","b"
"99","b","b","a","c","c","a","a","c","a","c","b","c","c","a","a","a","a","b","a"
"100","a","b","a","a","c","a","a","c","b","a","c","a","a","b","c","c","c","b","b"
"101","b","c","c","b","a","c","c","b","a","c","a","b","a","a","a","c","a","c","c"
"102","b","c","a","b","c","a","a","c","b","b","c","c","a","a","b","c","b","a","b"
"103","a","b","a","b","b","b","a","a","c","b","b","b","a","a","b","a","b","a","c"
"104","b","b","b","b","b","a","a","a","b","b","c","b","a","b","a","a","a","a","a"
"105","c","c","c","a","b","a","a","a","b","c","c","c","a","a","a","a","c","c","a"
"106","b","a","a","b","a","a","a","a","b","a","b","c","c","c","c","c","c","c","b"
"107","c","a","b","c","b","a","a","b","b","a","b","c","b","c","a","a","a","c","a"
"108","b","c","a","c","b","b","a","a","b","a","a","b","a","a","a","a","c","b","a"
"109","a","a","a","c","c","a","c","a","b","b","c","a","b","c","b","c","a","a","a"
"110","a","a","b","c","b","b","a","a","c","c","c","c","c","c","c","c","a","c","a"
"111","b","c","c","c","a","b","a","a","a","a","c","a","c","b","a","b","a","b","c"
"112","a","a","c","a","a","a","a","a","a","b","c","b","b","a","a","c","c","c","b"
"113","b","c","c","b","a","c","a","a","c","b","c","a","b","a","a","a","c","b","a"
"114","c","c","a","b","a","c","a","a","c","b","c","c","c","c","a","a","a","a","a"
"115","b","b","a","c","a","c","a","a","a","b","c","c","b","a","c","c","a","a","a"
"116","b","b","c","b","b","c","b","c","b","b","b","c","a","a","b","b","b","b","b"
