"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","U","X","Y"
"1","b","c","c","b","a","b","b","b","b","b","c","c","b","c","c","c","c","b","b","a"
"2","a","a","a","b","a","a","b","a","a","b","a","a","b","a","c","a","c","a","a","c"
"3","a","b","a","c","c","b","b","a","b","a","b","a","a","a","b","a","b","c","b","a"
"4","a","c","c","a","a","a","a","a","c","a","b","c","b","c","a","a","a","c","c","a"
"5","c","a","b","a","c","b","b","a","b","b","c","a","b","a","c","a","c","c","c","b"
"6","b","a","a","b","a","a","a","a","c","b","c","b","a","a","a","a","a","b","a","a"
"7","a","a","a","a","a","b","a","a","b","b","c","b","a","a","b","a","a","a","a","a"
"8","b","b","b","c","c","a","a","c","b","a","b","c","c","c","a","a","a","b","c","a"
"9","b","c","a","b","c","c","a","c","a","b","c","b","b","a","a","a","a","a","a","a"
"10","b","b","b","c","c","c","b","a","b","a","c","c","c","b","c","b","a","b","a","a"
"11","a","b","a","c","c","c","b","a","b","b","c","a","b","c","c","a","a","b","a","a"
"12","c","a","b","a","b","b","a","b","b","b","c","c","c","c","a","a","c","b","c","b"
"13","a","a","a","a","c","a","b","a","b","b","a","b","b","a","a","a","a","a","a","a"
"14","c","b","b","b","a","c","a","a","b","a","b","b","a","a","a","a","a","b","a","a"
"15","a","a","a","b","a","a","b","c","c","c","c","b","a","a","b","b","c","a","b","b"
"16","b","a","a","b","c","a","b","a","b","a","a","b","a","a","c","c","c","a","c","b"
"17","a","a","b","b","a","b","a","a","b","b","c","a","b","a","a","a","c","b","c","b"
"18","c","c","b","b","c","b","b","a","b","b","a","c","c","a","c","a","c","c","c","a"
"19","b","c","c","b","c","b","b","a","b","c","a","a","a","a","a","a","a","c","c","a"
"20","b","a","a","b","b","c","a","b","b","b","c","a","b","c","a","a","a","a","a","a"
"21","b","b","b","b","b","c","a","b","b","a","c","a","b","c","c","a","c","c","c","a"
"22","b","b","c","b","c","a","a","b","b","b","b","c","b","a","b","b","b","c","b","a"
"23","b","a","a","c","a","b","a","a","c","b","c","c","b","c","c","a","c","a","c","a"
"24","c","a","a","b","b","b","a","a","c","c","c","b","b","c","b","b","c","a","b","b"
"25","a","a","c","b","a","a","a","c","b","b","c","a","b","c","c","c","c","a","b","b"
"26","a","c","b","b","c","c","a","a","b","b","a","b","a","a","c","c","c","c","c","a"
"27","c","a","c","a","a","a","a","a","a","b","c","c","b","c","b","a","b","b","b","c"
"28","a","c","a","a","b","c","a","b","c","b","b","a","c","a","a","a","c","b","c","a"
"29","c","c","b","c","c","b","a","c","b","a","c","c","c","a","b","a","b","c","c","b"
"30","c","b","b","a","b","b","b","c","a","b","c","a","b","b","c","a","c","c","a","a"
"31","b","a","c","b","a","c","a","a","b","b","c","a","b","a","b","c","b","a","b","c"
"32","b","a","b","b","b","c","b","c","c","b","c","b","c","c","b","b","a","b","c","a"
"33","b","b","b","b","c","c","b","a","a","c","c","a","a","a","a","b","a","c","c","a"
"34","b","a","b","c","a","a","a","c","b","b","c","a","b","a","a","a","c","b","c","b"
"35","b","b","c","c","b","b","c","c","c","b","b","c","a","a","c","a","c","a","b","a"
"36","b","a","a","c","a","a","b","b","b","a","c","b","a","a","c","c","c","a","c","b"
"37","c","a","c","a","a","a","a","a","c","b","a","b","b","a","a","a","a","a","a","a"
"38","b","b","b","b","b","c","a","b","b","c","a","b","b","b","a","a","c","c","c","a"
"39","b","a","c","c","b","b","a","b","b","b","c","c","c","c","c","c","c","b","c","b"
"40","c","a","c","a","a","a","a","a","b","b","a","a","b","a","a","b","a","c","a","a"
"41","a","c","c","b","c","a","c","a","b","b","c","b","b","a","a","a","a","b","a","a"
"42","c","c","c","a","a","a","a","a","b","c","c","b","a","a","c","a","c","b","c","a"
"43","a","c","a","c","c","a","a","c","b","b","b","c","b","b","b","b","b","b","a","c"
