"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","a","a","b","b","c","b","a","c","b","b","c","a","b","c","a","c","c","c","b"
"2","c","c","c","a","a","a","a","a","c","a","b","a","a","a","a","c","c","c","a"
"3","c","a","c","a","a","a","a","a","a","a","b","c","a","a","b","b","b","b","c"
"4","b","b","b","b","b","c","a","b","a","b","c","a","b","a","a","c","a","c","a"
"5","c","a","c","a","a","a","a","b","a","b","c","a","a","a","b","b","b","b","b"
"6","b","b","c","c","b","a","b","c","c","b","c","c","c","c","b","b","b","b","c"
"7","b","c","a","b","c","a","b","a","b","c","b","c","b","c","a","c","a","b","a"
"8","c","c","c","c","b","b","a","a","b","b","c","b","a","a","a","a","c","b","a"
"9","b","a","a","c","a","b","a","a","b","a","c","a","b","c","a","a","a","c","b"
"10","c","a","a","c","c","c","b","a","c","b","b","a","b","a","a","c","c","a","b"
"11","c","b","b","b","c","c","a","c","a","b","c","a","b","a","b","b","b","b","a"
"12","b","c","a","c","a","a","a","c","b","b","b","c","a","a","a","a","b","a","b"
"13","b","a","c","c","a","c","a","a","a","b","b","c","c","b","c","c","a","c","a"
"14","a","b","c","b","b","a","a","a","c","b","c","a","b","a","b","b","b","b","c"
"15","b","b","b","b","c","b","c","a","b","b","c","a","b","a","a","a","c","c","c"
"16","b","c","a","b","b","b","a","c","c","b","c","b","a","a","c","c","b","c","c"
"17","c","b","c","a","a","a","a","a","a","b","c","c","c","c","a","a","a","b","a"
"18","b","a","a","b","a","b","a","a","a","a","b","c","a","a","a","a","a","a","a"
"19","c","c","a","b","a","c","a","a","c","b","c","b","a","a","b","b","b","a","b"
"20","c","b","a","b","c","b","b","a","b","b","b","c","b","a","a","b","a","a","a"
"21","a","a","c","c","b","b","a","c","b","b","c","c","b","a","c","c","a","a","a"
"22","a","a","b","a","c","b","a","c","b","b","c","a","b","c","b","a","a","a","a"
"23","c","a","c","a","c","a","a","c","b","b","c","b","c","c","c","a","c","b","b"
"24","b","b","a","b","a","b","a","a","a","c","b","b","a","c","b","b","b","b","c"
"25","b","a","a","c","a","c","b","a","b","b","b","c","c","c","a","a","b","a","c"
"26","a","a","a","c","b","b","a","b","c","b","b","c","a","a","c","c","c","c","b"
"27","b","c","c","c","a","b","a","a","a","b","c","a","a","a","a","b","a","b","a"
"28","c","a","b","c","c","a","a","a","b","b","c","a","a","a","a","b","a","a","a"
"29","b","b","a","b","a","b","a","a","a","a","c","c","c","c","a","c","a","c","b"
"30","c","a","c","a","b","a","a","c","b","b","c","a","c","c","a","c","a","a","b"
"31","a","c","a","c","b","b","a","b","a","b","c","a","a","a","a","b","c","c","a"
"32","a","b","c","b","a","c","a","a","a","a","b","c","b","c","a","c","a","b","a"
"33","b","a","a","b","b","b","a","a","b","b","c","c","a","a","a","a","a","a","a"
"34","a","a","a","b","a","c","a","a","a","b","c","c","c","c","a","a","c","a","b"
"35","c","c","b","a","c","c","b","a","b","b","c","a","c","b","a","a","c","c","a"
"36","c","a","a","b","b","a","a","b","b","c","b","c","c","a","c","c","c","b","b"
"37","a","c","a","b","b","a","a","b","b","c","c","b","a","a","c","c","c","c","a"
"38","b","c","a","b","a","c","a","a","a","b","c","a","c","c","a","c","a","a","a"
"39","c","b","b","b","c","a","b","a","b","b","c","a","b","c","a","a","c","c","b"
"40","a","a","c","b","c","c","b","a","b","c","a","b","a","a","b","a","a","c","a"
"41","a","b","a","c","c","b","b","a","c","c","b","c","a","a","a","a","c","c","b"
"42","b","a","c","b","a","c","a","a","b","a","a","a","b","c","b","b","a","c","a"
"43","a","a","a","c","c","c","a","a","b","a","b","a","c","b","b","c","a","b","b"
"44","c","b","b","a","c","a","c","a","c","c","c","c","c","c","a","a","c","c","c"
"45","a","a","a","b","a","c","a","a","a","a","a","a","a","a","a","a","c","c","b"
"46","a","c","a","b","a","b","a","a","a","b","c","a","c","c","b","b","b","a","c"
"47","c","b","c","a","a","b","b","b","c","b","c","a","a","a","c","c","c","b","a"
"48","a","a","b","b","a","c","a","a","b","b","c","a","b","c","c","a","c","b","a"
"49","a","b","a","b","a","c","a","a","b","b","c","c","b","a","a","b","a","a","a"
"50","a","b","a","b","b","a","a","b","c","c","a","a","b","a","a","a","c","b","a"
"51","a","a","b","b","a","c","a","a","c","b","c","c","c","c","c","a","c","c","b"
"52","c","a","c","a","c","c","a","c","a","a","b","c","c","c","a","a","a","c","b"
"53","a","a","a","b","a","a","a","a","b","b","a","b","b","c","c","a","a","a","a"
"54","a","a","a","b","a","c","c","a","b","c","a","b","b","b","c","a","b","b","c"
"55","b","a","a","c","c","b","b","a","b","a","b","c","a","a","a","a","a","c","a"
"56","b","a","c","b","a","a","b","a","a","b","c","a","b","c","b","b","a","b","a"
"57","a","c","b","c","c","a","a","c","b","b","a","b","a","a","a","b","b","c","c"
"58","a","a","a","b","a","a","a","a","b","b","c","c","c","c","a","a","a","b","a"
"59","a","c","a","a","b","a","a","a","c","b","c","a","c","b","b","b","a","a","a"
"60","a","b","a","b","c","c","a","b","b","b","c","a","c","a","b","b","a","a","a"
"61","b","a","a","a","c","c","a","c","b","b","c","c","b","a","c","c","a","a","a"
"62","a","a","a","c","a","b","a","a","a","b","b","a","c","c","b","b","a","a","a"
"63","c","c","c","a","a","a","a","a","a","b","c","b","a","a","a","a","c","b","a"
"64","c","c","a","b","c","c","a","c","b","b","a","b","a","a","b","a","a","a","a"
"65","b","c","a","b","c","c","b","b","b","b","c","b","a","a","b","a","b","b","c"
"66","b","c","c","b","a","c","a","a","c","b","c","b","a","a","c","a","a","b","a"
"67","b","a","b","b","a","a","a","a","c","b","c","a","b","c","a","a","a","a","a"
"68","a","a","a","b","a","c","b","c","c","c","c","a","b","b","b","b","b","c","c"
"69","a","b","a","b","a","c","a","a","a","c","a","a","c","c","a","b","c","b","c"
"70","c","a","b","b","b","c","a","b","c","b","c","b","a","a","a","b","a","c","a"
"71","a","b","b","b","a","c","a","a","a","a","b","a","c","c","a","a","a","c","a"
"72","a","b","c","b","a","a","a","a","c","b","c","b","a","a","c","c","a","a","a"
"73","b","a","a","c","b","b","b","a","c","c","b","c","a","a","b","b","b","b","a"
"74","b","b","a","b","b","b","a","b","a","a","c","c","b","b","a","a","a","a","a"
"75","c","a","c","c","a","a","a","a","a","b","c","a","b","c","b","b","b","a","c"
